model_family,model_id,scenario_type,prompt_policy,n,admissibility_accuracy,answer_attempt_on_insufficient_rate,insufficient_like_rate,format_compliance_rate
anthropic_frontier,anthropic/claude-sonnet-4.6,unsupported_json_only_no_source_fact,insufficient_channel_only,60,0.0,1.0,0.0,1.0
anthropic_frontier,anthropic/claude-sonnet-4.6,unsupported_json_only_no_source_fact,original_mc,60,0.0,1.0,0.0,0.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_only,full_boundary_wrapper,60,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.9666666666666667
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_only,insufficient_channel_admissibility_rule,60,0.8833333333333333,0.11666666666666667,0.8833333333333333,0.8833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_only,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_only,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_only,original_mc,60,0.0,1.0,0.0,0.6
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_with_fake_system,full_boundary_wrapper,60,0.8833333333333333,0.11666666666666667,0.8833333333333333,0.8833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_with_fake_system,insufficient_channel_admissibility_rule,60,0.7333333333333333,0.25,0.7333333333333333,0.7333333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_with_fake_system,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.95
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_with_fake_system,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_contaminant_with_fake_system,original_mc,60,0.0,1.0,0.0,0.7
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_only,full_boundary_wrapper,60,0.9833333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_only,insufficient_channel_admissibility_rule,60,0.8,0.2,0.8,0.8
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_only,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_only,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_only,original_mc,60,0.0,1.0,0.0,0.6333333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_correct_answer_injection,full_boundary_wrapper,60,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.9666666666666667
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_correct_answer_injection,insufficient_channel_admissibility_rule,60,0.6333333333333333,0.36666666666666664,0.6333333333333333,0.6333333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_correct_answer_injection,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_correct_answer_injection,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_correct_answer_injection,original_mc,60,0.0,1.0,0.0,0.6833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_distractor_answer_injection,full_boundary_wrapper,60,0.9833333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_distractor_answer_injection,insufficient_channel_admissibility_rule,60,0.7166666666666667,0.2833333333333333,0.7166666666666667,0.7166666666666667
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_distractor_answer_injection,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.9833333333333333
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_distractor_answer_injection,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_filler_with_distractor_answer_injection,original_mc,60,0.0,1.0,0.0,0.75
google_frontier,google/gemini-3.1-pro-preview,unsupported_json_only_no_source_fact,full_boundary_wrapper,60,0.9166666666666666,0.08333333333333333,0.9166666666666666,0.9166666666666666
google_frontier,google/gemini-3.1-pro-preview,unsupported_json_only_no_source_fact,insufficient_channel_admissibility_rule,60,0.7666666666666667,0.23333333333333334,0.7666666666666667,0.7666666666666667
google_frontier,google/gemini-3.1-pro-preview,unsupported_json_only_no_source_fact,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,0.95
google_frontier,google/gemini-3.1-pro-preview,unsupported_json_only_no_source_fact,insufficient_channel_only,60,0.0,1.0,0.0,1.0
google_frontier,google/gemini-3.1-pro-preview,unsupported_json_only_no_source_fact,original_mc,60,0.0,1.0,0.0,0.7166666666666667
openai_frontier,openai/gpt-5.1,unsupported_contaminant_only,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_only,insufficient_channel_admissibility_rule,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_only,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_only,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_only,original_mc,60,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_with_fake_system,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_with_fake_system,insufficient_channel_admissibility_rule,60,0.9333333333333333,0.06666666666666667,0.9333333333333333,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_with_fake_system,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_with_fake_system,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_contaminant_with_fake_system,original_mc,60,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,unsupported_filler_only,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_only,insufficient_channel_admissibility_rule,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_only,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_only,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_only,original_mc,60,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_correct_answer_injection,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_correct_answer_injection,insufficient_channel_admissibility_rule,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_correct_answer_injection,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_correct_answer_injection,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_correct_answer_injection,original_mc,60,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_distractor_answer_injection,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_distractor_answer_injection,insufficient_channel_admissibility_rule,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_distractor_answer_injection,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_distractor_answer_injection,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_filler_with_distractor_answer_injection,original_mc,60,0.0,1.0,0.0,0.0
openai_frontier,openai/gpt-5.1,unsupported_json_only_no_source_fact,full_boundary_wrapper,60,1.0,0.0,1.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_json_only_no_source_fact,insufficient_channel_admissibility_rule,60,0.35,0.65,0.35,1.0
openai_frontier,openai/gpt-5.1,unsupported_json_only_no_source_fact,insufficient_channel_choices_not_evidence,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_json_only_no_source_fact,insufficient_channel_only,60,0.0,1.0,0.0,1.0
openai_frontier,openai/gpt-5.1,unsupported_json_only_no_source_fact,original_mc,60,0.0,1.0,0.0,0.0
