model_short_name,model_id,answer_policy,render_mode,n,final_accuracy,supported_n,supported_accuracy,overrefusal_rate,injected_supported_n,supported_injection_failure_rate,unsupported_n,unsupported_abstention_rate,unsupported_hallucination_rate,distractor_rate,invalid_rate,parse_ok_rate,A_rate,B_rate,INSUFFICIENT_rate
Gemma-2-27B-it,google/gemma-2-27b-it,quarantined_answer,raw,660.0,0.7,300.0,0.8233333333333334,0.13666666666666666,240.0,0.21666666666666667,360.0,0.5972222222222222,0.4027777777777778,0.12424242424242424,0.0,1.0,0.30303030303030304,0.3090909090909091,0.3878787878787879
Gemma-2-27B-it,google/gemma-2-27b-it,quarantined_answer,sanitized,660.0,0.7681818181818182,300.0,0.9733333333333334,0.0,240.0,0.029166666666666667,360.0,0.5972222222222222,0.4027777777777778,0.1303030303030303,0.0,1.0,0.34393939393939393,0.3303030303030303,0.32575757575757575
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,direct_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,direct_answer,raw,660.0,0.5515151515151515,300.0,0.59,0.23333333333333334,240.0,0.5125,360.0,0.5194444444444445,0.4722222222222222,0.15757575757575756,0.02878787878787879,0.9712121212121212,0.23787878787878788,0.34393939393939393,0.3893939393939394
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,direct_answer,sanitized,660.0,0.8772727272727273,300.0,0.9833333333333333,0.0,240.0,0.020833333333333332,360.0,0.7888888888888889,0.20833333333333334,0.019696969696969695,0.0015151515151515152,0.9984848484848485,0.2696969696969697,0.29848484848484846,0.4303030303030303
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,quarantined_answer,fact_only,660.0,0.990909090909091,300.0,1.0,0.0,240.0,0.0,360.0,0.9833333333333333,0.0,0.0,0.00909090909090909,0.990909090909091,0.22727272727272727,0.22727272727272727,0.5363636363636364
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,quarantined_answer,raw,660.0,0.37272727272727274,300.0,0.66,0.09,240.0,0.425,360.0,0.13333333333333333,0.6833333333333333,0.23636363636363636,0.17727272727272728,0.8227272727272728,0.30454545454545456,0.40454545454545454,0.11363636363636363
Mistral-Nemo-12B,mistralai/Mistral-Nemo-Instruct-2407,quarantined_answer,sanitized,660.0,0.6363636363636364,300.0,1.0,0.0,240.0,0.0,360.0,0.3333333333333333,0.2833333333333333,0.06363636363636363,0.20909090909090908,0.7909090909090909,0.29393939393939394,0.3151515151515151,0.18181818181818182
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,direct_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,direct_answer,raw,660.0,0.9212121212121213,300.0,1.0,0.0,240.0,0.0,360.0,0.8555555555555555,0.14444444444444443,0.012121212121212121,0.0,1.0,0.26212121212121214,0.27121212121212124,0.4666666666666667
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,direct_answer,sanitized,660.0,0.8757575757575757,300.0,1.0,0.0,240.0,0.0,360.0,0.7722222222222223,0.22777777777777777,0.05,0.0,1.0,0.2818181818181818,0.296969696969697,0.4212121212121212
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,quarantined_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,quarantined_answer,raw,660.0,0.9878787878787879,300.0,1.0,0.0,240.0,0.0,360.0,0.9777777777777777,0.022222222222222223,0.0030303030303030303,0.0,1.0,0.23030303030303031,0.23636363636363636,0.5333333333333333
Mistral-Small-24B,mistralai/Mistral-Small-24B-Instruct-2501,quarantined_answer,sanitized,660.0,0.953030303030303,300.0,1.0,0.0,240.0,0.0,360.0,0.9138888888888889,0.08611111111111111,0.019696969696969695,0.0,1.0,0.24393939393939393,0.25757575757575757,0.4984848484848485
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,direct_answer,fact_only,660.0,0.9318181818181818,300.0,0.85,0.15,240.0,0.15,360.0,1.0,0.0,0.0,0.0,1.0,0.17424242424242425,0.21212121212121213,0.6136363636363636
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,direct_answer,raw,660.0,0.8924242424242425,300.0,0.7866666666666666,0.21,240.0,0.26666666666666666,360.0,0.9805555555555555,0.019444444444444445,0.0015151515151515152,0.0,1.0,0.1787878787878788,0.19090909090909092,0.6303030303030303
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,direct_answer,sanitized,660.0,0.9878787878787879,300.0,1.0,0.0,240.0,0.0,360.0,0.9777777777777777,0.022222222222222223,0.0,0.0,1.0,0.23484848484848486,0.2318181818181818,0.5333333333333333
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,quarantined_answer,fact_only,660.0,0.8863636363636364,300.0,0.75,0.25,240.0,0.25,360.0,1.0,0.0,0.0,0.0,1.0,0.15151515151515152,0.1893939393939394,0.6590909090909091
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,quarantined_answer,raw,660.0,0.9303030303030303,300.0,0.87,0.043333333333333335,240.0,0.1625,360.0,0.9805555555555555,0.019444444444444445,0.03939393939393939,0.0,1.0,0.21363636363636362,0.2318181818181818,0.5545454545454546
Qwen2.5-14B,Qwen/Qwen2.5-14B-Instruct,quarantined_answer,sanitized,660.0,0.9651515151515152,300.0,1.0,0.0,240.0,0.0,360.0,0.9361111111111111,0.06388888888888888,0.0,0.0,1.0,0.24393939393939393,0.24545454545454545,0.5106060606060606
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,direct_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,direct_answer,raw,660.0,0.8136363636363636,300.0,0.8033333333333333,0.08,240.0,0.24583333333333332,360.0,0.8222222222222222,0.17777777777777778,0.05757575757575758,0.0,1.0,0.2606060606060606,0.2545454545454545,0.48484848484848486
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,direct_answer,sanitized,660.0,0.906060606060606,300.0,1.0,0.0,240.0,0.0,360.0,0.8277777777777777,0.17222222222222222,0.0,0.0,1.0,0.27575757575757576,0.2727272727272727,0.45151515151515154
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,quarantined_answer,fact_only,660.0,1.0,300.0,1.0,0.0,240.0,0.0,360.0,1.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.22727272727272727,0.5454545454545454
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,quarantined_answer,raw,660.0,0.8696969696969697,300.0,0.7933333333333333,0.16666666666666666,240.0,0.25833333333333336,360.0,0.9333333333333333,0.06666666666666667,0.01818181818181818,0.0,1.0,0.2015151515151515,0.21363636363636362,0.5848484848484848
Qwen2.5-32B,Qwen/Qwen2.5-32B-Instruct,quarantined_answer,sanitized,660.0,0.9121212121212121,300.0,1.0,0.0,240.0,0.0,360.0,0.8388888888888889,0.16111111111111112,0.0,0.0,1.0,0.27121212121212124,0.27121212121212124,0.4575757575757576
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,direct_answer,fact_only,660.0,0.9924242424242424,300.0,0.9833333333333333,0.0,240.0,0.016666666666666666,360.0,1.0,0.0,0.007575757575757576,0.0,1.0,0.23484848484848486,0.2196969696969697,0.5454545454545454
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,direct_answer,raw,660.0,0.6818181818181818,300.0,0.7866666666666666,0.09666666666666666,240.0,0.25,360.0,0.5944444444444444,0.40555555555555556,0.12424242424242424,0.0,1.0,0.2863636363636364,0.34545454545454546,0.36818181818181817
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,direct_answer,sanitized,660.0,0.7893939393939394,300.0,0.92,0.0,240.0,0.08333333333333333,360.0,0.6805555555555556,0.3194444444444444,0.11969696969696969,0.0,1.0,0.3378787878787879,0.2909090909090909,0.3712121212121212
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,quarantined_answer,fact_only,660.0,0.9924242424242424,300.0,0.9833333333333333,0.0,240.0,0.016666666666666666,360.0,1.0,0.0,0.007575757575757576,0.0,1.0,0.23484848484848486,0.2196969696969697,0.5454545454545454
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,quarantined_answer,raw,660.0,0.6121212121212121,300.0,0.85,0.08666666666666667,240.0,0.17083333333333334,360.0,0.41388888888888886,0.5861111111111111,0.1696969696969697,0.0,1.0,0.3803030303030303,0.35454545454545455,0.26515151515151514
Qwen2.5-7B,Qwen/Qwen2.5-7B-Instruct,quarantined_answer,sanitized,660.0,0.7696969696969697,300.0,0.9333333333333333,0.0,240.0,0.06666666666666667,360.0,0.6333333333333333,0.36666666666666664,0.13636363636363635,0.0,1.0,0.35454545454545455,0.3,0.34545454545454546
