model_short_name,answer_policy,render_mode,distractor_rate,final_accuracy,invalid_rate,overrefusal_rate,parse_ok_rate,supported_accuracy,supported_injection_failure_rate,unsupported_abstention_rate,unsupported_hallucination_rate
Gemma-2-27B-it,quarantined_answer,sanitized,"0.1303 [0.1067, 0.1581]","0.7682 [0.7345, 0.7988]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9733 [0.9483, 0.9864]","0.0292 [0.0142, 0.0590]","0.5972 [0.5458, 0.6466]","0.4028 [0.3534, 0.4542]"
Gemma-2-27B-it,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Mistral-Nemo-12B,direct_answer,raw,"0.1576 [0.1318, 0.1873]","0.5515 [0.5134, 0.5891]","0.0288 [0.0185, 0.0445]","0.2333 [0.1890, 0.2844]","0.9712 [0.9555, 0.9815]","0.5900 [0.5335, 0.6442]","0.5125 [0.4496, 0.5750]","0.5194 [0.4679, 0.5706]","0.4722 [0.4212, 0.5238]"
Mistral-Nemo-12B,direct_answer,sanitized,"0.0197 [0.0115, 0.0334]","0.8773 [0.8500, 0.9001]","0.0015 [0.0003, 0.0085]","0.0000 [0.0000, 0.0126]","0.9985 [0.9915, 0.9997]","0.9833 [0.9616, 0.9929]","0.0208 [0.0089, 0.0478]","0.7889 [0.7438, 0.8279]","0.2083 [0.1696, 0.2533]"
Mistral-Nemo-12B,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Mistral-Nemo-12B,quarantined_answer,raw,"0.2364 [0.2055, 0.2702]","0.3727 [0.3367, 0.4103]","0.1773 [0.1500, 0.2083]","0.0900 [0.0626, 0.1278]","0.8227 [0.7917, 0.8500]","0.6600 [0.6047, 0.7113]","0.4250 [0.3641, 0.4882]","0.1333 [0.1021, 0.1723]","0.6833 [0.6336, 0.7292]"
Mistral-Nemo-12B,quarantined_answer,sanitized,"0.0636 [0.0474, 0.0849]","0.6364 [0.5990, 0.6722]","0.2091 [0.1798, 0.2418]","0.0000 [0.0000, 0.0126]","0.7909 [0.7582, 0.8202]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.3333 [0.2866, 0.3836]","0.2833 [0.2393, 0.3320]"
Mistral-Nemo-12B,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","0.9909 [0.9803, 0.9958]","0.0091 [0.0042, 0.0197]","0.0000 [0.0000, 0.0126]","0.9909 [0.9803, 0.9958]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.9833 [0.9641, 0.9923]","0.0000 [0.0000, 0.0106]"
Mistral-Small-24B,direct_answer,raw,"0.0121 [0.0062, 0.0237]","0.9212 [0.8981, 0.9394]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.8556 [0.8155, 0.8881]","0.1444 [0.1119, 0.1845]"
Mistral-Small-24B,direct_answer,sanitized,"0.0500 [0.0358, 0.0694]","0.8758 [0.8484, 0.8988]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.7722 [0.7262, 0.8125]","0.2278 [0.1875, 0.2738]"
Mistral-Small-24B,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Mistral-Small-24B,quarantined_answer,raw,"0.0030 [0.0008, 0.0110]","0.9879 [0.9763, 0.9938]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.9778 [0.9568, 0.9887]","0.0222 [0.0113, 0.0432]"
Mistral-Small-24B,quarantined_answer,sanitized,"0.0197 [0.0115, 0.0334]","0.9530 [0.9341, 0.9667]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.9139 [0.8804, 0.9387]","0.0861 [0.0613, 0.1196]"
Mistral-Small-24B,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-14B,direct_answer,raw,"0.0015 [0.0003, 0.0085]","0.8924 [0.8665, 0.9138]","0.0000 [0.0000, 0.0058]","0.2100 [0.1677, 0.2596]","1.0000 [0.9942, 1.0000]","0.7867 [0.7368, 0.8292]","0.2667 [0.2147, 0.3260]","0.9806 [0.9604, 0.9905]","0.0194 [0.0095, 0.0396]"
Qwen2.5-14B,direct_answer,sanitized,"0.0000 [0.0000, 0.0058]","0.9879 [0.9763, 0.9938]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.9778 [0.9568, 0.9887]","0.0222 [0.0113, 0.0432]"
Qwen2.5-14B,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","0.9318 [0.9100, 0.9487]","0.0000 [0.0000, 0.0058]","0.1500 [0.1140, 0.1948]","1.0000 [0.9942, 1.0000]","0.8500 [0.8052, 0.8860]","0.1500 [0.1104, 0.2007]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-14B,quarantined_answer,raw,"0.0394 [0.0270, 0.0571]","0.9303 [0.9083, 0.9473]","0.0000 [0.0000, 0.0058]","0.0433 [0.0255, 0.0727]","1.0000 [0.9942, 1.0000]","0.8700 [0.8272, 0.9034]","0.1625 [0.1212, 0.2144]","0.9806 [0.9604, 0.9905]","0.0194 [0.0095, 0.0396]"
Qwen2.5-14B,quarantined_answer,sanitized,"0.0000 [0.0000, 0.0058]","0.9652 [0.9483, 0.9767]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.9361 [0.9060, 0.9571]","0.0639 [0.0429, 0.0940]"
Qwen2.5-14B,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","0.8864 [0.8599, 0.9084]","0.0000 [0.0000, 0.0058]","0.2500 [0.2044, 0.3020]","1.0000 [0.9942, 1.0000]","0.7500 [0.6980, 0.7956]","0.2500 [0.1994, 0.3084]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-32B,direct_answer,raw,"0.0576 [0.0422, 0.0780]","0.8136 [0.7821, 0.8415]","0.0000 [0.0000, 0.0058]","0.0800 [0.0543, 0.1163]","1.0000 [0.9942, 1.0000]","0.8033 [0.7546, 0.8444]","0.2458 [0.1956, 0.3040]","0.8222 [0.7794, 0.8583]","0.1778 [0.1417, 0.2206]"
Qwen2.5-32B,direct_answer,sanitized,"0.0000 [0.0000, 0.0058]","0.9061 [0.8814, 0.9260]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.8278 [0.7854, 0.8633]","0.1722 [0.1367, 0.2146]"
Qwen2.5-32B,direct_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-32B,quarantined_answer,raw,"0.0182 [0.0104, 0.0315]","0.8697 [0.8419, 0.8933]","0.0000 [0.0000, 0.0058]","0.1667 [0.1288, 0.2130]","1.0000 [0.9942, 1.0000]","0.7933 [0.7439, 0.8353]","0.2583 [0.2071, 0.3172]","0.9333 [0.9027, 0.9548]","0.0667 [0.0452, 0.0973]"
Qwen2.5-32B,quarantined_answer,sanitized,"0.0000 [0.0000, 0.0058]","0.9121 [0.8881, 0.9314]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","0.8389 [0.7974, 0.8733]","0.1611 [0.1267, 0.2026]"
Qwen2.5-32B,quarantined_answer,fact_only,"0.0000 [0.0000, 0.0058]","1.0000 [0.9942, 1.0000]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","1.0000 [0.9874, 1.0000]","0.0000 [0.0000, 0.0158]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-7B,direct_answer,raw,"0.1242 [0.1012, 0.1516]","0.6818 [0.6453, 0.7162]","0.0000 [0.0000, 0.0058]","0.0967 [0.0682, 0.1354]","1.0000 [0.9942, 1.0000]","0.7867 [0.7368, 0.8292]","0.2500 [0.1994, 0.3084]","0.5944 [0.5430, 0.6439]","0.4056 [0.3561, 0.4570]"
Qwen2.5-7B,direct_answer,sanitized,"0.1197 [0.0971, 0.1467]","0.7894 [0.7567, 0.8188]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9200 [0.8837, 0.9457]","0.0833 [0.0546, 0.1252]","0.6806 [0.6307, 0.7266]","0.3194 [0.2734, 0.3693]"
Qwen2.5-7B,direct_answer,fact_only,"0.0076 [0.0032, 0.0176]","0.9924 [0.9824, 0.9968]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9833 [0.9616, 0.9929]","0.0167 [0.0065, 0.0421]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
Qwen2.5-7B,quarantined_answer,raw,"0.1697 [0.1430, 0.2002]","0.6121 [0.5744, 0.6485]","0.0000 [0.0000, 0.0058]","0.0867 [0.0598, 0.1240]","1.0000 [0.9942, 1.0000]","0.8500 [0.8052, 0.8860]","0.1708 [0.1285, 0.2235]","0.4139 [0.3642, 0.4654]","0.5861 [0.5346, 0.6358]"
Qwen2.5-7B,quarantined_answer,sanitized,"0.1364 [0.1123, 0.1647]","0.7697 [0.7361, 0.8002]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9333 [0.8993, 0.9564]","0.0667 [0.0414, 0.1055]","0.6333 [0.5824, 0.6815]","0.3667 [0.3185, 0.4176]"
Qwen2.5-7B,quarantined_answer,fact_only,"0.0076 [0.0032, 0.0176]","0.9924 [0.9824, 0.9968]","0.0000 [0.0000, 0.0058]","0.0000 [0.0000, 0.0126]","1.0000 [0.9942, 1.0000]","0.9833 [0.9616, 0.9929]","0.0167 [0.0065, 0.0421]","1.0000 [0.9894, 1.0000]","0.0000 [0.0000, 0.0106]"
