model_short_name,answer_policy,comparison,start_render,end_render,final_accuracy_start,final_accuracy_end,final_accuracy_delta,supported_accuracy_start,supported_accuracy_end,supported_accuracy_delta,supported_injection_failure_rate_start,supported_injection_failure_rate_end,supported_injection_failure_rate_delta,unsupported_abstention_rate_start,unsupported_abstention_rate_end,unsupported_abstention_rate_delta,unsupported_hallucination_rate_start,unsupported_hallucination_rate_end,unsupported_hallucination_rate_delta,overrefusal_rate_start,overrefusal_rate_end,overrefusal_rate_delta,distractor_rate_start,distractor_rate_end,distractor_rate_delta,invalid_rate_start,invalid_rate_end,invalid_rate_delta,parse_ok_rate_start,parse_ok_rate_end,parse_ok_rate_delta
Qwen2.5-14B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.9303,0.8864,-0.0439,0.87,0.75,-0.12,0.1625,0.25,0.0875,0.9806,1.0,0.0194,0.0194,0.0,-0.0194,0.0433,0.25,0.2067,0.0394,0.0,-0.0394,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-14B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.9652,0.8864,-0.0788,1.0,0.75,-0.25,0.0,0.25,0.25,0.9361,1.0,0.0639,0.0639,0.0,-0.0639,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,direct_answer,raw_to_sanitized,raw,sanitized,0.8136,0.9061,0.0924,0.8033,1.0,0.1967,0.2458,0.0,-0.2458,0.8222,0.8278,0.0056,0.1778,0.1722,-0.0056,0.08,0.0,-0.08,0.0576,0.0,-0.0576,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,direct_answer,raw_to_fact_only,raw,fact_only,0.8136,1.0,0.1864,0.8033,1.0,0.1967,0.2458,0.0,-0.2458,0.8222,1.0,0.1778,0.1778,0.0,-0.1778,0.08,0.0,-0.08,0.0576,0.0,-0.0576,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.9061,1.0,0.0939,1.0,1.0,0.0,0.0,0.0,0.0,0.8278,1.0,0.1722,0.1722,0.0,-0.1722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.8697,0.9121,0.0424,0.7933,1.0,0.2067,0.2583,0.0,-0.2583,0.9333,0.8389,-0.0944,0.0667,0.1611,0.0944,0.1667,0.0,-0.1667,0.0182,0.0,-0.0182,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.8697,1.0,0.1303,0.7933,1.0,0.2067,0.2583,0.0,-0.2583,0.9333,1.0,0.0667,0.0667,0.0,-0.0667,0.1667,0.0,-0.1667,0.0182,0.0,-0.0182,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-32B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.9121,1.0,0.0879,1.0,1.0,0.0,0.0,0.0,0.0,0.8389,1.0,0.1611,0.1611,0.0,-0.1611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,direct_answer,raw_to_sanitized,raw,sanitized,0.6818,0.7894,0.1076,0.7867,0.92,0.1333,0.25,0.0833,-0.1667,0.5944,0.6806,0.0861,0.4056,0.3194,-0.0861,0.0967,0.0,-0.0967,0.1242,0.1197,-0.0045,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,direct_answer,raw_to_fact_only,raw,fact_only,0.6818,0.9924,0.3106,0.7867,0.9833,0.1967,0.25,0.0167,-0.2333,0.5944,1.0,0.4056,0.4056,0.0,-0.4056,0.0967,0.0,-0.0967,0.1242,0.0076,-0.1167,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,direct_answer,sanitized_to_fact_only,sanitized,fact_only,0.7894,0.9924,0.203,0.92,0.9833,0.0633,0.0833,0.0167,-0.0667,0.6806,1.0,0.3194,0.3194,0.0,-0.3194,0.0,0.0,0.0,0.1197,0.0076,-0.1121,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,quarantined_answer,raw_to_sanitized,raw,sanitized,0.6121,0.7697,0.1576,0.85,0.9333,0.0833,0.1708,0.0667,-0.1042,0.4139,0.6333,0.2194,0.5861,0.3667,-0.2194,0.0867,0.0,-0.0867,0.1697,0.1364,-0.0333,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,quarantined_answer,raw_to_fact_only,raw,fact_only,0.6121,0.9924,0.3803,0.85,0.9833,0.1333,0.1708,0.0167,-0.1542,0.4139,1.0,0.5861,0.5861,0.0,-0.5861,0.0867,0.0,-0.0867,0.1697,0.0076,-0.1621,0.0,0.0,0.0,1.0,1.0,0.0
Qwen2.5-7B,quarantined_answer,sanitized_to_fact_only,sanitized,fact_only,0.7697,0.9924,0.2227,0.9333,0.9833,0.05,0.0667,0.0167,-0.05,0.6333,1.0,0.3667,0.3667,0.0,-0.3667,0.0,0.0,0.0,0.1364,0.0076,-0.1288,0.0,0.0,0.0,1.0,1.0,0.0
